Game File,Game Date,Pitching Team,Hitting Team,Pitcher,Batter,Inning,Plate Appearance,Play,Play Type,Outs,New BaseOut State,Pitch Sequence,Batter Handedness,Pitcher Handedness,Runs Scored On Play,Runs Charged To,Game Location (Hitting),Game Location (Pitching),Previous BaseOut State,Next Outs,Outs on Play,All Counts,Inning Number,Grouped Play Type
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,M. Penta,T6,44,M. Penta doubled to center field.,2B 8,0,_2_,SP,R,R,0,[],Away,Home,___,0.0,0.0,"['0-0', '0-1']",6,Double
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,L. Turner,T6,46,L. Turner singled to center field; G. Wilson advanced to third.,1B 8,0,1_3,FBFP,R,R,0,[],Away,Home,_2_,0.0,0.0,"['0-0', '0-1', '1-1', '1-2']",6,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,B. Murphy,T6,49,"B. Murphy doubled to left field, 2 RBI; L. Caye scored; G. Wilson scored.",2B 7 RBI2,0,12_,FBP,L,R,2,"['K. Mcdonald', 'K. Mcdonald']",Away,Home,1_3,0.0,0.0,"['0-0', '0-1', '1-1']",6,Double
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,J. Williams,T6,50,J. Williams popped up to ss.,P6,0,12_,BP,L,R,0,[],Away,Home,12_,1.0,1.0,"['0-0', '1-0']",6,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,C. Fox,T6,51,"C. Fox singled down the rf line, RBI, advanced to second on the throw; B. Murphy scored.",1B RL RBI +T,1,12_,BFKP,L,R,1,['K. Mcdonald'],Away,Home,12_,1.0,0.0,"['0-0', '1-0', '1-1', '1-2']",6,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,C. Cornwell,T6,52,C. Cornwell lined out to ss.,L6,1,12_,KFFFBBP,L,R,0,[],Away,Home,12_,2.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2']",6,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,S. Woods,T6,53,S. Woods flied out to lf.,F7,2,12_,P,R,R,0,[],Away,Home,12_,3.0,1.0,['0-0'],6,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,A. Miller,B6,56,A. Miller singled through the right side.,1B RS,0,1__,KBBP,R,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '0-1', '1-1', '2-1']",6,Single
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,A. Hensley,B6,58,A. Hensley flied out to lf.,F7,0,1__,BBKKP,R,R,0,[],Home,Away,1__,1.0,1.0,"['0-0', '1-0', '2-0', '2-1', '2-2']",6,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,J. Gober,B6,59,J. Gober struck out looking.,KL,1,1__,KFK,R,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '0-1', '0-2']",6,Strikeout
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,M. Mckay,B6,60,M. Mckay grounded out to 3b.,53,2,1__,KKFP,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '0-1', '0-2']",6,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,Z. Rocke,T7,64,Z. Rocke doubled to right center.,2B RC,0,_2_,BFBBFP,R,R,0,[],Away,Home,___,0.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2']",7,Double
651295.xml,2/21/2026,TOLEDO,MARYLAND,K. Mcdonald,A. McGowan,T7,66,A. McGowan struck out looking.,KL,0,_2_,FBSK,R,R,0,[],Away,Home,_2_,1.0,1.0,"['0-0', '0-1', '1-1', '1-2']",7,Strikeout
651295.xml,2/21/2026,TOLEDO,MARYLAND,M. Yackee,M. Penta,T7,68,M. Penta popped up to ss.,P6,1,_2_,BBBKP,R,L,0,[],Away,Home,_2_,2.0,1.0,"['0-0', '1-0', '2-0', '3-0', '3-1']",7,Out
651295.xml,2/21/2026,TOLEDO,MARYLAND,M. Yackee,L. Turner,T7,69,"L. Turner singled to center field, advanced to second on the throw, RBI; T. Borovac scored.",1B 8 +T RBI1,2,_2_,BSFBP,R,L,1,['K. Mcdonald'],Away,Home,_2_,2.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2']",7,Single
651295.xml,2/21/2026,TOLEDO,MARYLAND,M. Yackee,B. Murphy,T7,70,B. Murphy popped up to 2b.,P4,2,_2_,BP,L,L,0,[],Away,Home,_2_,3.0,1.0,"['0-0', '1-0']",7,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,E. Maloney,B7,72,E. Maloney grounded out to p.,13,0,___,FBBFP,R,R,0,[],Home,Away,___,1.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2']",7,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,J. Bloomfiel,B7,74,J. Bloomfiel singled to right field.,1B 9,1,1__,KKFP,R,R,0,[],Home,Away,___,1.0,0.0,"['0-0', '0-1', '0-2']",7,Single
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,A. Shepherd,B7,77,A. Shepherd grounded out to 3b; R. Sjoholm advanced to third.,53,1,1_3,BKSFFP,R,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '1-0', '1-1', '1-2']",7,Out
651295.xml,2/21/2026,MARYLAND,TOLEDO,K. Bucher,E. Enriquez,B7,78,E. Enriquez flied out to rf.,F9,2,1_3,FBP,L,R,0,[],Home,Away,1_3,3.0,1.0,"['0-0', '0-1', '1-1']",7,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,C. Cornwell,T1,1,C. Cornwell walked.,BB,0,1__,BBKBB,L,L,0,[],Away,Home,___,0.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1']",1,Walk
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,S. Woods,T1,2,"S. Woods singled to third base, bunt; C. Cornwell advanced to second.",1B 5 BU,0,12_,P,R,L,0,[],Away,Home,1__,0.0,0.0,['0-0'],1,Single
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,Z. Rocke,T1,3,Z. Rocke hit by pitch; S. Woods advanced to second; C. Cornwell advanced to third.,HP,0,123,BBKBFH,R,L,0,[],Away,Home,12_,0.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '3-2']",1,Hit By Pitch
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,A. McGowan,T1,4,A. McGowan reached on a fielder's choice; Z. Rocke advanced to second; S. Woods advanced to third; C. Cornwell out at home 3b to c.,FC,0,123,KSP,R,L,0,[],Away,Home,123,1.0,1.0,"['0-0', '0-1', '0-2']",1,Fielders Choice
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,M. Penta,T1,5,M. Penta fouled out to 1b.,FF3,1,123,BSFP,R,L,0,[],Away,Home,123,2.0,1.0,"['0-0', '1-0', '1-1', '1-2']",1,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,L. Turner,T1,6,L. Turner struck out swinging.,KS,2,123,KBSFBBFS,R,L,0,[],Away,Home,123,3.0,1.0,"['0-0', '0-1', '1-1', '1-2', '2-2', '3-2']",1,Strikeout
638992.xml,2/21/2026,MARYLAND,LIBERTY,E. Wiegand,E. Fox,B1,7,E. Fox tripled to right center.,3B RC,0,__3,BBKSBP,L,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2', '3-2']",1,Triple
638992.xml,2/21/2026,MARYLAND,LIBERTY,E. Wiegand,S. Jessee,B1,8,"S. Jessee doubled to right center, RBI; E. Fox scored.",2B RC RBI1,0,_2_,KKP,R,R,1,['E. Wiegand'],Home,Away,__3,0.0,0.0,"['0-0', '0-1', '0-2']",1,Double
638992.xml,2/21/2026,MARYLAND,LIBERTY,E. Wiegand,B. McManus,B1,9,B. McManus flied out to rf; S. Jessee advanced to third.,F9,0,__3,BFBBFP,R,R,0,[],Home,Away,_2_,1.0,1.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2']",1,Out
638992.xml,2/21/2026,MARYLAND,LIBERTY,E. Wiegand,A. Carrasqui,B1,10,"A. Carrasqui homered to center field, 2 RBI; S. Jessee scored.",HR 8 RBI2,1,___,FBP,R,R,2,"['E. Wiegand', 'E. Wiegand']",Home,Away,__3,1.0,0.0,"['0-0', '0-1', '1-1']",1,Home Run
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,P. Doerr,B1,12,P. Doerr singled to left field.,1B 7,1,1__,FFBP,L,R,0,[],Home,Away,___,1.0,0.0,"['0-0', '0-1', '0-2', '1-2']",1,Single
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,M. Stricklan,B1,13,M. Stricklan reached on a fielder's choice; P. Doerr out at second ss unassisted.,FC,1,1__,BBP,R,R,0,[],Home,Away,1__,2.0,1.0,"['0-0', '1-0', '2-0']",1,Fielders Choice
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,B. Roberts,B1,14,B. Roberts singled down the lf line; M. Stricklan advanced to second.,1B LL,2,12_,BBSKFFP,L,R,0,[],Home,Away,1__,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '2-2']",1,Single
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,A. Fulcher,B1,15,A. Fulcher grounded out to ss.,63,2,12_,BP,R,R,0,[],Home,Away,12_,3.0,1.0,"['0-0', '1-0']",1,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,B. Murphy,T2,16,B. Murphy singled to shortstop.,1B 6,0,1__,P,L,L,0,[],Away,Home,___,0.0,0.0,['0-0'],2,Single
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,C. Fox,T2,17,"C. Fox out at first 3b to 2b, SAC, bunt; B. Murphy advanced to second.",54 SAC BU,0,_2_,P,L,L,0,[],Away,Home,1__,1.0,1.0,['0-0'],2,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,T. Borovac,T2,18,T. Borovac popped up to 2b.,P4,1,_2_,BSBFFP,L,L,0,[],Away,Home,_2_,2.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2']",2,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,C. Cornwell,T2,19,C. Cornwell grounded out to 2b.,43,2,_2_,P,L,L,0,[],Away,Home,_2_,3.0,1.0,['0-0'],2,Out
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,S. Whatley,B2,20,S. Whatley walked.,BB,0,1__,FBBBB,L,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1']",2,Walk
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,E. Fox,B2,21,E. Fox fouled out to lf.,FF7,0,1__,BBBKFP,L,R,0,[],Home,Away,1__,1.0,1.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2']",2,Out
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,S. Jessee,B2,22,S. Jessee popped up to 3b.,P5,1,1__,P,R,R,0,[],Home,Away,1__,2.0,1.0,['0-0'],2,Out
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,B. McManus,B2,24,B. McManus walked.,BB,2,1__,BBFBB,R,R,0,[],Home,Away,1__,2.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1']",2,Walk
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,A. Carrasqui,B2,26,A. Carrasqui grounded out to 2b.,43,2,1__,BSBFFBFP,R,R,0,[],Home,Away,1__,3.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2']",2,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,S. Woods,T3,27,S. Woods singled to left center.,1B LC,0,1__,BFKFBP,R,L,0,[],Away,Home,___,0.0,0.0,"['0-0', '1-0', '1-1', '1-2', '2-2']",3,Single
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,Z. Rocke,T3,28,Z. Rocke popped up to 2b.,P4,0,1__,P,R,L,0,[],Away,Home,1__,1.0,1.0,['0-0'],3,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,A. McGowan,T3,29,A. McGowan flied out to rf.,F9,1,1__,KP,R,L,0,[],Away,Home,1__,2.0,1.0,"['0-0', '0-1']",3,Out
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,M. Penta,T3,30,M. Penta hit by pitch; S. Woods advanced to second.,HP,2,12_,H,R,L,0,[],Away,Home,1__,2.0,0.0,['0-0'],3,Hit By Pitch
638992.xml,2/21/2026,LIBERTY,MARYLAND,C. Anders,L. Turner,T3,31,L. Turner flied out to cf.,F8,2,12_,KKBBBFP,R,L,0,[],Away,Home,12_,3.0,1.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2']",3,Out
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,P. Doerr,B3,32,P. Doerr singled up the middle.,1B MI,0,1__,FFBBBP,L,R,0,[],Home,Away,___,0.0,0.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '3-2']",3,Single
638992.xml,2/21/2026,MARYLAND,LIBERTY,A. Wurst,M. Stricklan,B3,33,M. Stricklan reached on a fielder's choice; P. Doerr out at second ss to 2b.,FC,0,1__,KBBFFFP,R,R,0,[],Home,Away,1__,1.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2']",3,Fielders Choice
